wave,fluxNorm
4325.4,0.46083
4325.46,0.42005
4325.52,0.27152
4325.58,0.24711
4325.64,0.26103
4325.7,0.14031
4325.76,0.16149
4325.82,0.15582
4325.88,0.22751
4325.94,0.33153
4326.06,0.57495
4326.12,0.74482
4326.18,0.81717
4326.24,0.77498
4326.3,0.7375
4326.36,0.7153
4326.42,0.73219
4326.48,0.75079
4326.54,0.67231
4326.6,0.6731
4326.66,0.50765
4326.72,0.37759
4326.78,0.41877
4326.84,0.46017
4326.9,0.59029
4326.96,0.65937
4327.02,0.49369
4327.08,0.38346
4327.14,0.42747
4327.2,0.506
4327.26,0.6602
4327.32,0.82961
4327.38,0.93232
4327.44,0.93426
4327.5,0.89216
4327.56,0.88698
4327.62,0.85017
4327.68,0.88514
4327.74,0.81209
4327.8,0.68442
4327.86,0.57294
4327.92,0.60593
4327.98,0.59382
4328.04,0.63331
4328.1,0.73694
4328.16,0.81219
4328.22,0.84156
4328.28,0.94485
4328.34,0.95016
4328.4,0.94937
4328.46,0.82219
4328.52,0.80385
4328.58,0.83143
4328.64,0.85884
4328.7,0.85215
4328.76,0.88484
4328.82,0.7725
4328.88,0.84598
4328.94,0.7857
4329.06,0.74215
4329.12,0.75304
4329.18,0.79342
4329.24,0.85868
4329.3,0.84627
4329.36,0.77247
4329.42,0.79174
4329.48,0.80187
4329.54,0.93307
4329.6,0.88121
4329.66,0.96686
4329.72,0.98194
4329.78,0.90962
4329.84,0.97959
4329.9,0.91905
4329.96,0.79471
4330.02,0.69896
4330.08,0.6247
4330.14,0.47779
4330.2,0.41754
4330.26,0.46542
4330.32,0.56367
4330.38,0.54822
4330.44,0.58283
4330.5,0.53288
4330.56,0.49778
4330.62,0.35776
4330.68,0.33965
4330.74,0.33754
4330.8,0.54991
4330.86,0.56828
4330.92,0.71384
4330.98,0.68768
4331.04,0.80226
4331.1,0.84149
4331.16,0.83024
4331.22,0.94155
4331.28,0.80256
4331.34,0.87633
4331.4,0.76165
4331.46,0.7794
4331.52,0.62447
4331.58,0.56894
4331.64,0.46317
4331.7,0.48208
4331.76,0.71084
4331.82,0.80883
4331.88,0.82321
4331.94,0.93548
4332.06,0.96663
4332.12,0.84885
4332.18,1.03436
4332.24,1.01668
4332.3,0.97346
4332.36,1.00015
4332.42,0.89513
4332.48,0.92301
4332.54,0.84535
4332.6,0.7856
4332.66,0.79184
4332.72,0.83921
4332.78,0.8786
4332.84,0.87814
4332.9,0.84086
4332.96,0.65786
4333.02,0.82532
4333.08,0.90998
4333.14,0.90688
4333.2,0.80876
4333.26,0.73598
4333.32,0.71266
4333.38,0.8214
4333.44,0.8142
4333.5,0.77976
4333.56,0.7604
4333.62,0.59204
4333.68,0.45255
4333.74,0.34292
4333.8,0.37881
4333.86,0.47241
4333.92,0.4925
4333.98,0.63077
4334.04,0.63998
4334.1,0.63786
4334.16,0.68009
4334.22,0.76168
4334.28,0.79487
4334.34,0.81632
4334.4,0.99764
