mjd,phase,mag,magerr
57445.5201214929,0.04232423647772521,19.311335,0.26555700502384777
57445.523125058,0.0518036080757156,19.282895,0.2616245821053306
57463.3756143632,0.39497395485523157,19.240926,0.2580723576760638
57463.3827982638,0.41764663252979517,19.255049,0.26010786660370866
57463.3900159607,0.44042597262887284,19.405951,0.28359413410255896
57463.3973206943,0.4634800040803384,19.440894,0.28870602495590075
57482.2954402547,0.10670126145123504,18.990256,0.21725447614486001
57482.3014560649,0.12568739909329452,19.080161,0.23087674972070552
57482.3074797453,0.1446983753994573,19.296948,0.26395437166079
57482.3134967014,0.16368812954169698,19.284466,0.2620807697075815
57494.3671801621,0.20559527882141992,19.725134,0.32610536898695647
57494.3733409955,0.22503911549574696,19.272978,0.2595517480727699
57494.3794966205,0.2444665142102167,19.24559,0.25486797090998436
57506.3207256598,0.9314630114240572,19.213286,0.25528867944403705
57506.3258839236,0.9477426982775796,19.74663,0.3359005381540466
57506.3310569907,0.9640691049571615,19.585042,0.31264769581034607
57506.3362322687,0.980402489338303,19.365408,0.2794238064822567
