HJD              Vmag     Imag
2451267.736840   8.1528   7.0698
2451267.755770   8.1482   7.0700
2451268.735590   8.1477   7.0684
2451268.757150   8.1478   7.0675
2451274.852420   8.1477   7.0769
2451275.828280   8.1501   7.0725
2451276.716360   8.1708   7.0785
2451277.711390   8.1507   7.0883
2451277.846670   8.1594   7.0771
2451278.706970   8.1039   7.0467
2451278.727280   8.1199   7.0566
2451278.854590   8.1517   7.0751
2451280.828050   8.1597   7.0876
2451282.696360   8.1745   7.0962
2451282.716640   8.1717   7.0930
2451283.693040   8.1694   7.0858
2451283.713300   8.1700   7.0904
2451283.839930   8.1710   7.0896
2451284.691020   8.1366   7.0670
2451284.711270   8.1400   7.0741
2451284.842040   8.1504   7.0693
2451285.687710   8.1645   7.0875
2451285.707970   8.1611   7.0832
2451285.834540   8.1607   7.0790
2451286.686980   8.1534   7.0744
2451286.708500   8.1530   7.0734
2451286.821740   8.1469   7.0736
2451287.684890   8.1705   7.0917
2451287.713210   8.1707   7.0940
2451287.811290   8.1617   7.0959
2451288.681600   8.1765   7.0953
2451288.703120   8.1740   7.0938
2451288.816340   8.1747   7.0911
2451289.678190   8.1534   7.0730
2451289.699650   8.1575   7.0774
2451290.704310   8.1665   7.0823
2451290.733710   8.1682   7.0826
2451290.835750   8.1665   7.0852
2451291.840340   8.1498   7.0852
2451292.736500   8.1741   7.0917
2451292.842270   8.1735   7.0916
2451293.668830   8.1594   7.0783
2451293.708770   8.1561   7.0747
2451293.823440   8.1530   7.0743
2451294.664910   8.1803   7.1032
2451294.700700   8.1836   7.1007
2451294.818520   8.1773   7.1012
2451295.665430   8.1573   7.0755
2451295.713170   8.1548   7.0721
2451295.813780   8.1597   7.0853
2451296.658890   8.1543   7.0783
2451296.697180   8.1599   7.0799
2451296.794510   8.1665   7.0832
2451297.656470   8.1741   7.0783
2451297.693590   8.1666   7.0857
2451299.666530   8.1691   7.0839
2451299.755370   8.1670   7.0767
2451299.837030   8.1634   7.0826
2451300.665120   8.1666   7.0955
2451300.711910   8.1660   7.0886
2451300.801370   8.1689   7.0875
2451301.666930   8.1668   7.0980
2451301.712290   8.1691   7.0945
2451303.671110   8.1672   7.0877
2451303.713420   8.1659   7.0852
2451303.815530   8.1711   7.0948
2451304.671770   8.1767   7.0945
2451304.714210   8.1792   7.0905
2451304.816630   8.1777   7.0966
2451305.672230   8.1658   7.0804
2451305.714610   8.1681   7.0907
2451305.816930   8.1673   7.0823
2451306.670370   8.1775   7.0941
2451306.712680   8.1747   7.0915
2451306.815160   8.1797   7.0925
2451307.669530   8.1695   7.0855
2451307.711750   8.1662   7.0894
2451307.814290   8.1633   7.0770
2451308.672500   8.1800   7.0891
2451308.723980   8.1763   7.0909
2451308.813900   8.1753   7.0880
2451309.673410   8.1794   7.0850
2451310.673540   8.1719   7.0859
2451310.725870   8.1746   7.0879
2451310.808010   8.1704   7.0881
2451311.670380   8.1766   7.0909
2451311.722700   8.1743   7.0899
2451312.667210   8.1530   7.0725
2451312.719730   8.1639   7.0837
2451312.802110   8.1645   7.0841
2451313.666270   8.1819   7.0979
2451313.718650   8.1791   7.0844
2451313.800820   8.1897   7.1025
2451314.666800   8.1619   7.0768
2451314.713940   8.1552   7.0743
2451314.796550   8.1537   7.0758
2451315.665390   8.1716   7.0887
2451315.712450   8.1748   7.0806
2451315.794570   8.1746   7.0865
2451316.667370   8.1686   7.0715
2451316.710980   8.1821   7.0928
2451316.793140   8.1746   7.0880
2451317.667870   8.1344   7.0480
2451317.711560   8.1429   7.0569
2451317.787850   8.1454   7.0552
2451318.668350   8.1746   7.0813
2451318.722450   8.1821   7.0878
2451318.798790   8.1748   7.0821
2451319.668780   8.1610   7.0826
2451319.722800   8.1447   7.0734
2451319.790750   8.1583   7.0772
2451320.669260   8.1712   7.0824
2451320.723470   8.1754   7.0842
2451320.815450   8.1760   7.0942
2451321.669650   8.1787   7.0906
2451321.723770   8.1818   7.0997
2451321.792070   8.1809   7.1026
2451322.667980   8.1839   7.0962
2451322.722200   8.1825   7.0934
2451322.786850   8.1825   7.1018
2451324.656290   8.1600   7.0815
2451324.685920   8.1529   7.0694
2451324.749220   8.1489   7.0570
2451325.674050   8.1871   7.0979
2451325.729650   8.1802   7.0894
2451325.805520   8.1876   7.1007
2451326.685380   8.1633   7.0882
2451326.761240   8.1394   7.0834
2451327.671580   8.1836   7.0933
2451327.728820   8.1839   7.1053
2451330.668150   8.1924   7.0995
2451330.730760   8.1841   7.0832
2451333.731400   8.1764   7.0903
2451333.786400   8.1712   7.0847
2451334.680310   8.1769   7.0942
2451334.731780   8.1866   7.1037
2451334.781840   8.1920   7.1087
2451335.680630   8.1894   7.0987
2451335.732190   8.1962   7.1025
2451335.782420   8.1965   7.1166
2451336.679470   8.1402   7.0660
2451336.729760   8.1439   7.0689
2451336.780060   8.1441   7.0770
2451337.676100   8.1887   7.0998
2451337.726450   8.1954   7.1063
2451337.776750   8.1951   7.1121
2451338.676420   8.1463   7.0703
2451338.735790   8.1438   7.0795
2451339.676760   8.1827   7.0807
2451339.729020   8.1821   7.0951
2451340.677070   8.2143   7.1174
2451340.729270   8.2073   7.1183
2451341.677290   8.1618   7.0776
2451341.729480   8.1623   7.0738
2451342.755810   8.2080   7.1085
2451348.671960   8.1475   7.0487
2451348.738660   8.1497   7.0658
2451349.688480   8.1936   7.0952
2451349.738690   8.1897   7.1013
2451350.677080   8.1470   7.0653
2451350.737340   8.1502   7.0613
2451351.695340   8.1857   7.0910
2451352.671330   8.2005   7.1038
2451352.713990   8.2045   7.1075
2451353.731410   8.1717   7.0861
2451354.674300   8.2108   7.1145
2451354.725260   8.2140   7.1146
2451355.673370   8.1424   7.0617
2451355.723290   8.1481   7.0699
2451360.672770   8.1275   7.0512
2451534.045600   8.2979   7.1754
2451536.015200   8.1916   7.0935
2451537.038680   8.3069   7.1876
2451538.014890   8.1776   7.0914
2451547.001310   8.2351   7.1387
2451548.038330   8.2109   7.1321
2451549.038520   8.2731   7.1632
2451551.033330   8.3147   7.2075
2451562.982960   8.3216   7.2056
2451581.037630   8.2285   7.1289
2451585.940420   8.2280   7.1214
2451591.053040   8.1923   7.0898
2451608.041060   8.2126   7.1105
2451617.778190   8.2420   7.1424
2451617.811380   8.2528   7.1496
2451618.804770   8.2974   7.1808
2451619.821990   8.2170   7.1173
2451619.852170   8.2049   7.1091
2451620.842450   8.3086   7.1831
2451621.946710   8.2223   7.1047
2451622.926380   8.3088   7.1823
2451626.942530   8.2146   7.1163
2451628.906900   8.2389   7.1254
2451630.888740   8.2624   7.1383
2451633.929900   8.2175   7.1162
2451634.935520   8.3222   7.1772
2451635.891930   8.2560   7.1455
2451637.886360   8.3017   7.1832
2451638.883210   8.2124   7.0977
2451639.899590   8.3074   7.1846
2451645.884320   8.2181   7.1184
2451646.878970   8.2876   7.1528
2451647.878530   8.2558   7.1143
2451649.860100   8.2767   7.1545
2451651.827760   8.3271   7.2067
2451652.829440   8.2351   7.1230
2451654.846390   8.2738   7.1460
2451656.857560   8.3178   7.2040
2451657.855970   8.2211   7.1165
2451658.860820   8.3152   7.1894
2451661.845000   8.2902   7.1695
2451662.841060   8.2225   7.1222
2451664.835950   8.2224   7.1155
2451665.841600   8.2779   7.1559
2451667.828040   8.2142   7.0980
2451669.831370   8.2406   7.1356
2451670.817380   8.3295   7.2108
2451675.805340   8.3445   7.2098
2451677.781930   8.2528   7.1354
2451678.772560   8.2602   7.1486
2451682.779250   8.2957   7.1671
2451683.792910   8.2112   7.1100
2451684.794280   8.2460   7.1243
2451694.803370   8.3228   7.2079
2451706.736300   8.3526   7.2126
2451883.044160   8.2332   7.1341
2451891.028550   8.3939   7.2526
2451899.001450   8.2863   7.1901
2451899.999250   8.2665   7.1668
2451901.000100   8.3912   7.2489
2451903.989450   8.2245   7.1127
2451908.978450   8.1724   7.0853
2451920.943330   8.1894   7.0863
2451947.872850   8.2132   7.1255
2451950.866910   8.3345   7.2046
2451952.860460   8.2540   7.1435
2451953.855850   8.3951   7.2521
2451956.850900   8.2368   7.1396
2451957.848070   8.2795   7.1721
2451959.840440   8.2287   7.1272
2451960.837280   8.4074   7.2505
2451961.838100   8.2108   7.1125
2451962.835500   8.3218   7.1948
2451972.807020   8.4176   7.2655
2451975.799140   8.3219   7.1862
2451977.791750   8.4121   7.2668
2451978.789520   8.2053   7.1213
2451980.786040   8.2556   7.1587
2451981.781390   8.2520   7.1398
2451984.772770   8.4121   7.2524
2451985.773020   8.2281   7.1340
2451986.768010   8.2951   7.1767
2451987.764070   8.3303   7.1955
2451988.761290   8.1922   7.0976
2451992.755640   8.2613   7.1609
2451992.808220   8.2560   7.1390
2451998.877280   8.3418   7.2044
2451999.731210   8.3517   7.2135
2452002.754390   8.2001   7.1178
2452006.717560   8.3755   7.2409
2452007.715350   8.1817   7.1030
2452008.709160   8.3943   7.2512
2452011.698430   8.3485   7.2162
2452012.696180   8.1999   7.1154
2452013.695540   8.3841   7.2474
2452014.741350   8.2064   7.1145
2452015.693020   8.3601   7.2190
2452016.690790   8.2908   7.1779
2452020.677020   8.3717   7.2283
2452023.667210   8.3605   7.2318
2452025.691490   8.3928   7.2496
2452027.708280   8.3551   7.2238
2452028.656940   8.3291   7.1925
2452029.656130   8.2395   7.1396
2452030.667850   8.3918   7.2502
2452031.672580   8.2079   7.1144
2452035.666050   8.3626   7.2130
2452035.835470   8.3289   7.1854
2452036.668110   8.2103   7.1220
2452037.668440   8.3810   7.2257
2452038.669070   8.2363   7.1273
2452041.658100   8.2394   7.1389
2452044.660690   8.3541   7.2150
2452045.657500   8.2904   7.1662
2452046.658040   8.3003   7.1739
2452047.658640   8.3853   7.2313
2452051.668330   8.3204   7.1924
2452053.667220   8.2507   7.1216
2452055.661600   8.2247   7.1053
2452058.669250   8.2897   7.1540
2452059.668080   8.3651   7.2254
2452061.696330   8.3860   7.2430
2452063.683090   8.3134   7.1827
2452064.682290   8.3105   7.1684
2452067.676450   8.2125   7.1134
2452068.703220   8.3626   7.2263
2452070.677310   8.2790   7.1460
2452073.667820   8.3897   7.2366
2452074.667550   8.2514   7.1302
2452075.666520   8.3068   7.1673
2452248.044260   8.3131   7.1884
2452250.045580   8.3299   7.1848
2452251.038730   8.3603   7.2059
2452251.045180   8.3550   7.2142
2452252.035570   8.3702   7.2147
2452252.041940   8.3612   7.2181
2452253.033020   8.3527   7.2105
2452253.039390   8.3528   7.2047
2452254.036930   8.3279   7.1982
2452258.019910   8.3625   7.2114
2452258.026290   8.3585   7.2090
2452264.003680   8.3516   7.2110
2452264.010050   8.3536   7.2137
2452264.999560   8.3384   7.1997
2452265.005940   8.3441   7.2091
2452265.999170   8.3188   7.1963
2452266.005540   8.3187   7.1947
2452266.996780   8.2909   7.1758
2452267.003180   8.2918   7.1722
2452267.999600   8.3293   7.1845
2452268.020330   8.3279   7.1943
2452268.990070   8.3318   7.1917
2452268.996460   8.3278   7.1810
2452269.994600   8.3478   7.2126
2452270.015320   8.3468   7.2021
2452270.989940   8.3416   7.2032
2452271.006040   8.3414   7.2056
2452277.972890   8.3237   7.1935
2452278.962190   8.3038   7.1751
2452278.968570   8.3045   7.1780
2452279.961010   8.3225   7.1885
2452279.967380   8.3304   7.1911
2452280.965420   8.3372   7.1925
2452280.986360   8.3346   7.1930
2452281.983810   8.3355   7.1971
2452282.952860   8.3415   7.2081
2452282.959220   8.3449   7.2068
2452287.946460   8.3566   7.2213
2452287.967200   8.3537   7.2117
2452288.936460   8.2988   7.1499
2452288.942850   8.3032   7.1699
2452296.916360   8.3027   7.1779
2452296.922730   8.3050   7.1780
2452299.906930   8.3235   7.1877
2452299.913310   8.3309   7.1816
2452311.878610   8.3604   7.2087
2452311.894740   8.3587   7.2062
2452312.875170   8.2611   7.1248
2452312.890560   8.2615   7.1334
