HJD              Vmag     Imag
2452364.732410   8.3465   7.1984
2452364.738770   8.3446   7.2021
2452365.732230   8.2449   7.1230
2452365.748030   8.2459   7.1283
2452367.724750   8.3106   7.1826
2452367.731120   8.3108   7.1775
2452368.721920   8.2469   7.1260
2452368.728300   8.2506   7.1368
2452371.713960   8.3376   7.1954
2452371.720330   8.3399   7.2083
2452372.787490   8.2611   7.1334
2452373.708740   8.2849   7.1568
2452373.739170   8.2951   7.1574
2452375.702810   8.2100   7.0943
2452375.737750   8.2133   7.0986
2452376.699860   8.3304   7.1832
2452378.698010   8.3095   7.1759
2452378.723820   8.3169   7.1802
2452379.693420   8.3192   7.1755
2452379.728150   8.3112   7.1804
2452380.690720   8.2392   7.1090
2452385.676250   8.2757   7.1508
2452385.711070   8.2901   7.1632
2452386.674320   8.3012   7.1590
2452386.709200   8.3093   7.1760
2452397.698330   8.2841   7.1569
2452398.650670   8.2899   7.1470
2452398.697770   8.2976   7.1656
2452399.646820   8.1865   7.0870
2452399.692880   8.1971   7.1057
2452400.690300   8.3022   7.1555
2452401.647870   8.2363   7.1009
2452401.689660   8.2347   7.1127
2452402.657850   8.3115   7.1487
2452402.686390   8.3170   7.1588
2452403.659400   8.3039   7.1583
2452403.685150   8.2947   7.1536
2452404.717200   8.2454   7.1315
2452404.760330   8.2598   7.1228
2452405.654660   8.3087   7.1517
2452405.686430   8.2938   7.1630
2452406.752960   8.2077   7.1005
2452408.659160   8.2380   7.1350
2452408.724910   8.2504   7.1307
2452411.648720   8.2048   7.1050
2452411.702010   8.2081   7.0924
2452412.700790   8.2863   7.1461
2452413.649320   8.2375   7.1268
2452413.698660   8.2249   7.1119
2452414.651920   8.2852   7.1447
2452414.696100   8.2904   7.1575
2452415.741630   8.2882   7.1605
2452415.776300   8.2710   7.1380
2452416.684190   8.2425   7.1133
2452417.689180   8.2843   7.1383
2452418.656130   8.2191   7.1212
2452418.689980   8.1904   7.0815
2452421.657570   8.2497   7.1284
2452421.704880   8.2727   7.1559
2452422.658200   8.3078   7.1585
2452422.700760   8.3103   7.1541
2452423.654420   8.2079   7.0944
2452424.654880   8.3000   7.1721
2452425.652550   8.2185   7.0895
2452429.657470   8.3066   7.1774
2452429.701230   8.3124   7.1672
2452430.704080   8.2079   7.0839
2452433.698950   8.2582   7.1022
2452435.692390   8.1762   7.0621
2452438.698390   8.2851   7.1532
2452442.703740   8.1912   7.0858
2452443.699120   8.3217   7.1792
2452447.660910   8.2403   7.1287
2452448.660840   8.3936   7.2432
2452454.660250   8.2091   7.1219
2452459.703140   8.2230   7.1000
2452460.699970   8.3431   7.1862
2452461.659910   8.2354   7.1202
2452616.042240   8.2272   7.1080
2452617.042230   8.2957   7.1605
2452618.036250   8.1849   7.0731
2452620.028990   8.2560   7.1332
2452620.035510   8.2529   7.1372
2452622.024350   8.3196   7.1829
2452622.041200   8.3134   7.1773
2452623.025250   8.2018   7.1043
2452625.019960   8.2169   7.1101
2452629.006440   8.3041   7.1655
2452629.022530   8.3122   7.1798
2452630.002100   8.1949   7.0923
2452630.008530   8.1906   7.0825
2452634.988380   8.2179   7.1054
2452634.994780   8.2151   7.1046
2452636.987860   8.2172   7.0985
2452637.019600   8.2144   7.1056
2452639.975380   8.2418   7.1241
2452639.981810   8.2370   7.1211
2452640.976520   8.2926   7.1616
2452640.993690   8.2932   7.1641
2452641.970180   8.1966   7.0985
2452641.976610   8.1986   7.0974
2452642.967420   8.2536   7.1393
2452642.973880   8.2553   7.1415
2452644.996430   8.2562   7.1341
2452645.962790   8.3193   7.1835
2452645.994160   8.3187   7.1814
2452649.948800   8.2503   7.1212
2452649.955230   8.2541   7.1391
2452650.946270   8.3028   7.1640
2452650.952730   8.3020   7.1724
2452651.964950   8.2316   7.0990
2452652.940940   8.3007   7.1685
2452652.947390   8.3036   7.1722
2452653.940490   8.1938   7.0938
2452653.958170   8.1899   7.0858
2452654.935430   8.2514   7.1327
2452654.941870   8.2493   7.1325
2452655.932800   8.2410   7.1189
2452661.917230   8.2361   7.1211
2452661.923660   8.2016   7.0932
2452662.920220   8.2901   7.1509
2452662.949620   8.2863   7.1499
2452664.909100   8.2989   7.1542
2452664.915510   8.3048   7.1567
2452665.909340   8.2060   7.0877
2452665.937790   8.2070   7.0833
2452666.909750   8.2582   7.1304
2452666.939380   8.2554   7.1229
2452667.900830   8.2394   7.1211
2452667.907290   8.2356   7.1221
2452668.899910   8.2194   7.1088
2452668.933450   8.2210   7.1062
2452669.896870   8.3048   7.1677
2452669.929820   8.3090   7.1717
2452670.898030   8.2049   7.0962
2452670.917070   8.1975   7.0775
2452671.890690   8.2657   7.1418
2452671.897100   8.2699   7.1408
2452673.887000   8.2194   7.1080
2452673.903100   8.2256   7.1170
2452677.876310   8.2078   7.1025
2452677.892470   8.2035   7.0962
2452680.906930   8.2119   7.1012
2452681.993400   8.3134   7.1774
2452686.871530   8.3056   7.1497
2452687.868890   8.2151   7.0906
2452690.842410   8.2237   7.1257
2452692.837460   8.2201   7.1083
2452692.871360   8.2175   7.1019
2452693.834890   8.3121   7.1665
2452693.864590   8.3120   7.1570
2452699.972820   8.2058   7.0936
2452700.007880   8.2118   7.1112
2452705.802690   8.3113   7.1841
2452705.832080   8.3080   7.1702
2452706.797320   8.1994   7.0872
2452706.803750   8.1991   7.0994
2452707.796370   8.2575   7.1413
2452707.829440   8.2660   7.1347
2452708.791010   8.2237   7.1074
2452708.825480   8.2225   7.1090
2452709.788600   8.2013   7.0934
2452709.795030   8.2069   7.0998
2452710.786650   8.2965   7.1536
2452711.783050   8.2030   7.0894
2452711.789470   8.2085   7.0981
2452713.780720   8.1976   7.0892
2452713.809130   8.1911   7.0868
2452718.776320   8.1987   7.0907
2452719.761870   8.2437   7.1339
2452719.768300   8.2531   7.1377
2452720.761490   8.2227   7.0873
2452720.779390   8.1959   7.1041
2452721.763830   8.1975   7.0989
2452722.756300   8.2864   7.1534
2452722.773900   8.2854   7.1528
2452723.787690   8.1945   7.0932
2452724.750760   8.2759   7.1522
2452724.782350   8.2758   7.1519
2452725.748720   8.2063   7.0892
2452725.766350   8.2118   7.0952
2452726.741060   8.2260   7.1196
2452726.747480   8.2260   7.1154
2452727.738910   8.2672   7.1374
2452727.745330   8.2600   7.1346
2452728.736350   8.2011   7.0885
2452728.760340   8.2022   7.0908
2452729.737420   8.3078   7.1657
2452729.769810   8.3048   7.1580
2452730.735130   8.2116   7.0884
2452730.752780   8.2072   7.0922
2452732.727270   8.2232   7.1102
2452732.762390   8.2261   7.1061
2452733.723120   8.2258   7.1206
2452733.729540   8.2237   7.1143
2452734.723330   8.2915   7.1553
2452734.739460   8.2905   7.1594
2452735.720220   8.2119   7.0966
2452735.737770   8.2058   7.0939
2452736.717280   8.2804   7.1538
2452736.751990   8.2864   7.1609
2452737.714160   8.2068   7.0980
2452737.753750   8.2096   7.1000
2452738.709920   8.2424   7.1156
2452738.746040   8.2470   7.1252
2452740.706920   8.2256   7.1043
2452740.742730   8.2158   7.0946
2452745.690950   8.2269   7.0944
2452745.726180   8.2362   7.1016
2452747.684970   8.2175   7.1048
2452747.715330   8.2069   7.0956
2452748.682920   8.2779   7.1514
2452748.705150   8.2800   7.1459
2452749.680370   8.2181   7.0958
2452749.708630   8.2122   7.1006
2452750.678190   8.2202   7.1065
2452750.708220   8.2273   7.1176
2452751.705590   8.2412   7.1214
2452752.672040   8.2045   7.1003
2452752.702010   8.2030   7.0906
2452753.669690   8.2874   7.1477
2452753.699750   8.2697   7.1303
2452754.666420   8.1723   7.0625
2452754.696720   8.2101   7.1015
2452755.747450   8.2495   7.1381
2452756.659370   8.2261   7.0889
2452758.691630   8.2755   7.1358
2452759.650740   8.2163   7.1019
2452760.651780   8.2509   7.1125
2452760.691910   8.2734   7.1456
2452761.727150   8.2118   7.0929
2452766.754810   8.2012   7.0859
2452766.792350   8.2201   7.0923
2452779.694210   8.2158   7.0801
2452784.689380   8.2519   7.1369
2452786.687140   8.2165   7.0988
2452790.764910   8.1771   7.0721
2452815.737110   8.2879   7.1617
2452828.693650   8.2492   7.1207
2452978.047540   8.1929   7.0930
2452979.042710   8.1982   7.0878
2452985.029130   8.2031   7.0947
2452987.026560   8.2328   7.1090
2452988.019610   8.1564   7.0689
2452988.026060   8.1590   7.0744
2452990.015190   8.1942   7.0948
2452991.014530   8.1560   7.0667
2452993.008230   8.1291   7.0353
2452993.014690   8.1295   7.0525
2452995.010130   8.1754   7.0909
2452996.001650   8.1884   7.0862
2452996.019290   8.1922   7.0915
2452998.995530   8.2170   7.0947
2452999.013170   8.2207   7.1100
2452999.990240   8.1379   7.0449
2453000.038880   8.1325   7.0341
2453000.987330   8.1982   7.0895
2453000.993740   8.2003   7.1010
2453001.985770   8.1997   7.0955
2453002.001890   8.1976   7.0982
2453002.981070   8.1548   7.0733
2453002.987500   8.1550   7.0780
2453010.963930   8.2165   7.1143
2453010.981540   8.2156   7.1156
2453011.977810   8.1264   7.0495
2453013.973080   8.2012   7.1085
2453014.953990   8.1461   7.0595
2453014.970310   8.1568   7.0709
2453016.946380   8.1065   7.0290
2453016.963950   8.1082   7.0437
2453022.932150   8.1984   7.0961
2453022.949750   8.1977   7.1038
2453023.929450   8.1235   7.0428
2453023.959200   8.1202   7.0424
2453031.917020   8.1809   7.0774
2453032.905430   8.2299   7.1247
2453032.921630   8.2237   7.1191
2453033.927700   8.1180   7.0340
2453033.949140   8.1164   7.0256
2453034.899450   8.2216   7.1216
2453034.917060   8.2221   7.1112
2453037.888320   8.1972   7.0956
2453037.894750   8.2078   7.1043
2453040.908040   8.1201   7.0409
2453041.879030   8.2204   7.1074
2453041.894850   8.2214   7.1079
2453042.873770   8.1624   7.0737
2453042.880180   8.1602   7.0715
2453043.872810   8.1877   7.0867
2453043.879300   8.1941   7.0995
2453044.874990   8.2183   7.1249
2453045.865850   8.1310   7.0427
2453045.872250   8.1216   7.0460
2453046.870060   8.2217   7.1247
2453046.887940   8.2204   7.1170
2453047.862070   8.1254   7.0447
2453047.868490   8.1244   7.0546
2453048.857980   8.2195   7.1113
2453052.854530   8.1100   7.0357
2453060.827550   8.2028   7.0793
2453060.857390   8.2182   7.1038
2453061.824170   8.2336   7.1322
2453061.830620   8.2282   7.1245
2453062.820640   8.1602   7.1104
2453064.817520   8.1248   7.0492
2453064.839950   8.1288   7.0620
2453065.818090   8.2134   7.1079
2453065.847590   8.2182   7.1133
2453070.804280   8.2324   7.1204
2453070.821570   8.2984   7.1606
2453080.790620   8.2520   7.1308
2453081.770110   8.1284   7.0368
2453081.776540   8.1238   7.0437
2453082.768080   8.2451   7.1259
2453082.774510   8.2487   7.1258
2453086.758510   8.1406   7.0627
2453087.755830   8.2776   7.1545
2453087.771850   8.2881   7.1483
2453091.747110   8.1569   7.0672
2453091.763150   8.1401   7.0456
2453092.760340   8.2701   7.1414
2453093.740270   8.1246   7.0399
2453093.756300   8.1140   7.0158
2453094.741500   8.2424   7.1376
2453095.882260   8.1429   7.0416
2453095.918910   8.1402   7.0414
2453101.717110   8.2165   7.0939
2453101.723520   8.2191   7.1100
2453102.716530   8.2169   7.1050
2453103.709950   8.1212   7.0480
2453107.699090   8.2040   7.1050
2453107.734070   8.1802   7.0749
2453108.696200   8.1691   7.0716
2453108.702620   8.1612   7.0497
2453109.696850   8.2571   7.1204
2453110.692800   8.1481   7.0456
2453111.695850   8.2887   7.1490
2453114.698710   8.2510   7.1064
2453115.678510   8.1303   7.0239
2453116.709690   8.2716   7.1426
2453117.702590   8.1410   7.0557
2453120.686720   8.1417   7.0338
2453124.651640   8.1927   7.0612
2453124.695580   8.1610   7.0507
2453125.698090   8.1574   7.0506
2453126.648780   8.2370   7.1118
2453185.717090   8.1549   7.0274
2453343.046240   8.2703   7.1345
2453349.032020   8.2491   7.1290
2453349.038400   8.2641   7.1487
2453350.029260   8.2751   7.1511
2453350.035640   8.2613   7.1335
2453351.024940   8.2646   7.1499
2453351.031340   8.2684   7.1502
2453352.023460   8.2935   7.1626
2453352.029850   8.2877   7.1541
2453353.024610   8.2614   7.1417
2453353.040700   8.2637   7.1409
2453354.018490   8.2869   7.1666
2453354.024880   8.2839   7.1675
2453355.016650   8.2522   7.1323
2453355.023050   8.2627   7.1489
2453356.013530   8.2813   7.1655
2453356.019960   8.2835   7.1734
2453360.998730   8.2667   7.1575
2453361.005130   8.2856   7.1689
2453364.993210   8.2760   7.1566
2453365.009210   8.2713   7.1559
2453367.986800   8.2707   7.1595
2453370.978830   8.2586   7.1582
2453371.969840   8.2501   7.1253
2453371.976230   8.2503   7.1285
2453378.954500   8.2096   7.0997
2453378.970760   8.2177   7.1055
2453379.968230   8.2751   7.1548
2453385.932950   8.2243   7.1072
2453386.930810   8.2872   7.1495
2453386.937220   8.2932   7.1620
2453387.931530   8.2598   7.1422
2453387.947600   8.2617   7.1404
2453388.928670   8.2286   7.1090
2453388.944830   8.2395   7.1252
2453389.926290   8.2941   7.1715
2453389.942300   8.2935   7.1695
2453393.912370   8.2611   7.1346
2453393.918760   8.2715   7.1402
2453395.910740   8.1952   7.0767
2453399.896870   8.2536   7.1280
2453399.903260   8.2028   7.0717
2453400.915060   8.2143   7.0877
2453402.889180   8.1794   7.0672
2453402.895570   8.1842   7.0794
2453403.914490   8.3065   7.1736
2453404.883450   8.2033   7.0887
2453404.889840   8.2252   7.1106
2453415.853350   8.2974   7.1614
2453415.859750   8.2869   7.1687
2453422.858020   8.2803   7.1693
2453429.816180   8.2423   7.1207
2453429.822590   8.2495   7.1331
2453430.813630   8.3168   7.1742
2453430.820020   8.3206   7.1803
2453432.808280   8.2974   7.1689
2453432.814670   8.3053   7.1723
2453437.795150   8.3227   7.1994
2453437.801540   8.3224   7.1887
2453438.792260   8.1425   7.0371
2453438.798680   8.1679   7.0700
2453439.789030   8.2852   7.1600
2453439.795410   8.2884   7.1550
2453440.787060   8.2326   7.1114
2453440.793470   8.2301   7.1119
2453441.807130   8.2328   7.1196
2453442.782900   8.3110   7.1795
2453442.789290   8.3105   7.1698
2453445.774010   8.1755   7.0638
2453445.780450   8.1850   7.0798
2453446.770910   8.2531   7.1301
2453446.777320   8.2581   7.1400
2453450.761260   8.1720   7.0745
2453450.783570   8.1634   7.0549
2453451.764020   8.2716   7.1417
2453451.784880   8.2721   7.1424
2453452.753490   8.2350   7.1132
2453452.759900   8.2327   7.1156
2453453.753440   8.2318   7.1130
2453453.769250   8.2367   7.1182
2453456.743640   8.2957   7.1555
2453456.750030   8.2910   7.1660
2453459.737580   8.2836   7.1507
2453459.753920   8.2846   7.1534
2453460.734940   8.1920   7.0864
2453460.767490   8.2054   7.0995
2453461.736770   8.3178   7.1691
2453461.765060   8.3167   7.1811
2453462.735080   8.1820   7.0796
2453462.765270   8.1785   7.0556
2453464.745600   8.2083   7.0829
2453464.772010   8.2059   7.0878
2453465.721480   8.2004   7.0969
2453465.737590   8.1937   7.0748
2453466.716470   8.3019   7.1632
2453466.722860   8.3005   7.1650
2453469.710000   8.1568   7.0573
2453469.740940   8.1551   7.0668
2453470.707150   8.2432   7.1290
2453470.723630   8.2503   7.1292
2453471.708790   8.2571   7.1319
2453471.726220   8.2521   7.1336
2453472.721140   8.1852   7.0853
2453474.699580   8.1523   7.0563
2453474.721860   8.1668   7.0704
2453475.691690   8.2677   7.1418
2453475.698100   8.2610   7.1446
2453476.694960   8.2233   7.1156
2453476.712670   8.2164   7.1050
2453477.685040   8.2216   7.1143
2453477.691430   8.2197   7.1159
2453478.684190   8.3180   7.1806
2453478.706310   8.3125   7.1760
2453479.682390   8.1775   7.0828
2453479.698320   8.1807   7.0780
2453480.696380   8.2923   7.1573
2453481.678220   8.1717   7.0707
2453481.694140   8.1809   7.0803
2453483.857580   8.2341   7.1224
2453485.665970   8.3180   7.1826
2453485.691910   8.3126   7.1843
2453487.659840   8.2692   7.1519
2453488.657710   8.2295   7.1201
2453488.687780   8.2274   7.1152
2453490.650040   8.3229   7.1817
2453490.685520   8.3199   7.1821
2453492.689970   8.3043   7.1709
2453493.653700   8.1818   7.0768
2453493.693040   8.1938   7.0825
2453494.691470   8.2526   7.1242
2453496.647560   8.2031   7.0904
2453499.649390   8.2734   7.1443
2453500.675590   8.2382   7.1191
2453501.653260   8.2477   7.1286
2453501.677790   8.2358   7.1172
2453502.669460   8.3300   7.1791
2453503.712570   8.1918   7.0644
2453504.687960   8.3058   7.1583
2453506.713560   8.2706   7.1445
2453506.759410   8.2630   7.1255
2453509.678620   8.3235   7.1772
2453509.707520   8.3180   7.1583
2453510.693180   8.1884   7.0718
2453512.687610   8.2457   7.1230
2453513.682620   8.2330   7.1083
2453514.656060   8.2999   7.1589
2453520.656880   8.2158   7.0860
2453520.712580   8.2278   7.1063
2453520.747660   8.2312   7.1018
2453521.696800   8.3179   7.1607
2453524.713700   8.2205   7.1146
2453525.699740   8.2365   7.1232
2453526.707060   8.3042   7.1653
2453527.707670   8.1976   7.0930
2453528.702830   8.3042   7.1653
2453529.654740   8.1850   7.0747
2453529.694180   8.1724   7.0603
2453530.683850   8.2448   7.1203
2453531.707830   8.2624   7.1342
2453532.692620   8.2223   7.1131
2453533.685320   8.3213   7.1738
2453534.700960   8.1738   7.0741
2453535.702410   8.2916   7.1549
2453537.656640   8.2251   7.1103
2453537.681670   8.2104   7.0966
2453538.694860   8.2843   7.1525
2453547.657550   8.2797   7.1316
2453548.686730   8.1445   7.0493
2453549.660710   8.2506   7.1350
2453549.716430   8.2457   7.1300
2453550.657430   8.2632   7.1373
2453551.711710   8.2045   7.0838
2453552.660760   8.3148   7.1684
2453552.711070   8.3234   7.1750
2453553.657180   8.1681   7.0533
2453556.700520   8.2197   7.1055
2453562.684310   8.2738   7.1378
2453565.680770   8.1552   7.0417
2453709.046400   8.2562   7.1366
2453711.041000   8.3456   7.2063
2453711.047420   8.3451   7.2011
2453721.050710   8.2494   7.1271
2453722.010350   8.2091   7.1045
2453722.016750   8.2121   7.1170
2453723.013980   8.3477   7.2087
2453725.004470   8.2759   7.1512
2453725.010860   8.2800   7.1629
2453726.000130   8.2440   7.1233
2453726.006540   8.2196   7.1131
2453726.998760   8.2054   7.1051
2453727.005170   8.2170   7.1172
2453730.002930   8.3404   7.2055
2453730.026580   8.3378   7.2060
2453731.998980   8.2475   7.1386
2453732.019740   8.2605   7.1576
2453733.018330   8.2813   7.1589
2453733.998890   8.2071   7.1088
2453734.980160   8.3537   7.2184
2453735.010630   8.3524   7.2239
2453736.012710   8.2130   7.1146
2453739.964970   8.3317   7.1987
2453739.981770   8.3220   7.1901
2453740.960450   8.2125   7.0985
2453740.966850   8.2127   7.1030
2453741.957770   8.3286   7.2043
2453741.964190   8.3436   7.2080
2453742.956070   8.2355   7.1307
2453742.962460   8.2283   7.1175
2453743.955980   8.2389   7.1393
2453743.988470   8.2476   7.1421
2453744.956150   8.2805   7.1577
2453744.986270   8.2809   7.1607
2453745.954460   8.2080   7.0979
2453745.985420   8.1982   7.1071
2453746.961090   8.3491   7.2096
2453747.942610   8.2265   7.1167
2453747.949020   8.2185   7.1129
2453748.954330   8.2762   7.1627
2453748.977950   8.2879   7.1651
2453750.953930   8.1979   7.1099
2453750.988650   8.2102   7.1094
2453752.929840   8.2124   7.1135
2453752.936260   8.2050   7.1007
2453753.944040   8.3221   7.1886
2453755.927160   8.2340   7.1305
2453757.920000   8.2091   7.1042
2453757.936380   8.2089   7.1074
2453758.914590   8.3262   7.2009
2453758.921000   8.3262   7.1980
2453761.906510   8.2542   7.1429
2453761.912900   8.2523   7.1458
2453765.901770   8.3072   7.1921
2453765.922930   8.3109   7.1923
2453766.891120   8.2413   7.1319
2453766.897510   8.2563   7.1449
2453767.888570   8.2056   7.1077
2453767.894980   8.2133   7.1204
2453768.886390   8.2572   7.1428
2453768.892780   8.2592   7.1510
2453769.903190   8.1941   7.1260
2453770.919300   8.3119   7.1862
2453772.894960   8.2757   7.1581
2453777.861800   8.2991   7.1698
2453777.868240   8.3027   7.1719
2453779.875040   8.1977   7.0867
2453781.854660   8.1971   7.0947
2453781.865330   8.2035   7.1001
2453782.852660   8.3161   7.1855
2453782.868950   8.2957   7.1727
2453786.841000   8.1696   7.0860
2453786.858110   8.1767   7.0828
2453788.835730   8.2342   7.1256
2453788.853300   8.2347   7.1272
2453790.877460   8.3044   7.1602
2453791.828190   8.2011   7.1138
2453791.844910   8.1959   7.1088
2453796.815520   8.2519   7.1409
2453796.832250   8.2550   7.1467
2453799.810960   8.2621   7.1532
2453803.794640   8.1961   7.0959
2453803.811530   8.1991   7.0875
2453808.779960   8.2404   7.1268
2453808.786400   8.2450   7.1265
2453811.772650   8.2443   7.1147
2453811.779080   8.2609   7.1451
2453815.788280   8.2091   7.1002
2453817.002660   8.2933   7.1633
2453819.836770   8.2900   7.1560
2453819.878470   8.2768   7.1444
2453827.730010   8.2081   7.1047
2453827.746830   8.1982   7.0893
2453831.715970   8.3013   7.1674
2453831.722390   8.2954   7.1581
2453832.720490   8.2388   7.1212
2453832.742200   8.2374   7.1198
2453834.707620   8.1624   7.0612
2453834.729170   8.1812   7.0724
2453838.696140   8.2807   7.1535
2453838.702560   8.2935   7.1628
2453840.753080   8.2332   7.1240
2453841.690380   8.2362   7.1207
2453841.713300   8.2241   7.0962
2453842.685990   8.2425   7.1361
2453842.707540   8.2250   7.1274
2453843.683300   8.2809   7.1506
2453843.704960   8.2994   7.1646
2453844.682600   8.2227   7.0968
2453844.709550   8.2352   7.1184
2453845.678770   8.2596   7.1419
2453845.709910   8.2700   7.1453
2453846.752730   8.2076   7.0954
2453849.697780   8.2333   7.1263
2453851.664120   8.2149   7.1045
2453852.660470   8.2206   7.1072
2453852.692560   8.2230   7.0992
2453854.688740   8.2236   7.1120
2453855.650310   8.2620   7.1390
2453856.685950   8.2335   7.1176
2453858.646260   8.2106   7.1061
2453858.682500   8.2064   7.1026
2453859.647520   8.1992   7.1041
2453859.683990   8.2099   7.0982
2453860.647310   8.2811   7.1429
2453860.682160   8.2670   7.1377
2453861.647970   8.2058   7.0861
2453861.682830   8.2241   7.1114
2453862.648250   8.2679   7.1363
2453862.680520   8.2805   7.1447
2453864.649300   8.2085   7.0960
2453864.673260   8.2016   7.0901
2453865.676010   8.2312   7.0907
2453867.651140   8.2987   7.1502
2453869.649540   8.2405   7.1106
2453869.668070   8.2494   7.1191
2453871.680730   8.1837   7.0705
2453871.710030   8.1850   7.0614
2453873.680180   8.1936   7.0827
2453874.647760   8.2757   7.1426
2453874.678820   8.2815   7.1443
2453874.738920   8.2788   7.1408
2453874.768430   8.2917   7.1639
2453875.651180   8.2346   7.1179
2453875.676920   8.2358   7.1075
2453876.650610   8.1929   7.0836
2453876.688840   8.1970   7.0846
2453878.651670   8.1752   7.0781
2453878.685280   8.1727   7.0740
2453879.656360   8.2708   7.1335
2453879.694600   8.2758   7.1420
2453880.655170   8.2350   7.1133
2453880.684450   8.2187   7.0974
2453881.655410   8.2382   7.1158
2453881.805880   8.2638   7.1344
2453882.656100   8.2232   7.1013
2453882.685500   8.2231   7.0984
2453883.656340   8.1617   7.0687
2453883.685690   8.1628   7.0673
2453884.654630   8.2706   7.1349
2453884.697900   8.2686   7.1383
2453885.654930   8.1912   7.0921
2453886.655210   8.2598   7.1160
2453886.694180   8.2730   7.1443
2453887.655800   8.2493   7.1292
2453887.694420   8.2458   7.1312
2453890.701240   8.1491   7.0467
2453895.663970   8.1474   7.0444
2453895.702110   8.1487   7.0512
2453896.659020   8.2495   7.1167
2453897.694270   8.1820   7.0783
2453898.662010   8.2788   7.1434
2453900.701690   8.2029   7.1009
2453902.662470   8.1554   7.0616
2453902.700450   8.1512   7.0613
2453903.752100   8.2845   7.1534
2453904.700580   8.2099   7.0949
2453905.700040   8.2397   7.1180
2453906.660930   8.2395   7.1268
2453907.660950   8.1285   7.0451
2453922.661640   8.2435   7.1227
2453922.697830   8.2536   7.1277
2454080.033940   8.1589   7.0685
2454082.025670   8.3438   7.1956
2454083.028830   8.0841   7.0096
2454084.025020   8.3873   7.2331
2454085.020900   8.1111   7.0333
2454085.037680   8.1044   7.0232
2454086.017180   8.2410   7.1213
2454086.047190   8.2785   7.1551
2454090.008300   8.0722   6.9966
2454091.003180   8.3423   7.2104
2454091.033290   8.3526   7.2147
2454093.994790   8.3443   7.2016
2454094.012020   8.3413   7.2043
2454094.993440   8.1075   7.0248
2454095.010290   8.0924   7.0036
2454095.990350   8.3692   7.2139
2454096.007170   8.3838   7.2281
2454103.002280   8.3283   7.1791
2454103.967110   8.1887   7.0777
2454103.973550   8.1922   7.0869
2454108.952770   8.1357   7.0453
2454116.971370   8.1909   7.0860
2454121.967760   8.2640   7.1443
2454128.903450   8.1860   7.0802
2454134.920100   8.2859   7.1550
2454140.868280   8.1732   7.0698
2454140.874710   8.1606   7.0592
2454143.863450   8.3205   7.1762
2454146.851640   8.3094   7.1547
2454146.858080   8.2846   7.1392
2454148.882840   8.3959   7.2331
2454150.893320   8.3372   7.1968
2454152.836870   8.1771   7.0687
2454152.843340   8.1938   7.0842
2454154.869580   8.1449   7.0546
2454155.830110   8.3522   7.2049
2454156.861560   8.1893   7.0749
2454157.825100   8.2309   7.0989
2454157.874140   8.2452   7.1176
2454160.821240   8.3646   7.2017
2454165.803320   8.3521   7.2019
2454165.851840   8.3435   7.1891
2454168.792060   8.1996   7.0980
2454168.798480   8.1996   7.0971
2454170.820160   8.2879   7.1615
2454171.786780   8.1641   7.0766
2454171.793220   8.1668   7.0814
2454172.787310   8.3801   7.2311
2454172.858620   8.3761   7.2306
2454173.783860   8.1757   7.0736
2454173.862130   8.1745   7.0760
2454174.782740   8.3062   7.1759
2454174.858630   8.3316   7.2000
2454175.780740   8.2592   7.1309
2454175.810820   8.2451   7.1177
2454176.781980   8.1951   7.0865
2454176.848410   8.2052   7.0895
2454177.866870   8.3400   7.1878
2454178.773000   8.1689   7.0712
2454179.767980   8.3361   7.1877
2454179.798240   8.3603   7.2173
2454184.758560   8.3645   7.2160
2454184.832740   8.3580   7.2078
2454185.753680   8.1764   7.0775
2454185.824700   8.1732   7.0745
2454188.772290   8.1793   7.0723
2454190.733980   8.1697   7.0657
2454191.741530   8.3478   7.1915
2454191.767000   8.3424   7.1907
2454193.726230   8.2442   7.1245
2454194.804240   8.2623   7.1355
2454198.711500   8.2973   7.1727
2454201.706780   8.3209   7.1914
2454201.798480   8.2978   7.1611
2454202.702850   8.1744   7.0891
2454205.717930   8.2415   7.1348
2454205.796820   8.2621   7.1434
2454206.691490   8.2825   7.1646
2454206.725340   8.2623   7.1442
2454209.915980   8.1895   7.0907
2454210.679120   8.2989   7.1678
2454210.761510   8.3212   7.1830
2454212.673180   8.2000   7.1076
2454213.746630   8.2970   7.1718
2454214.668370   8.1871   7.0857
2454214.750470   8.1842   7.0834
2454215.671580   8.3353   7.2019
2454215.763050   8.3404   7.1935
2454216.672140   8.2143   7.0881
2454217.672850   8.2316   7.1176
2454217.762730   8.2629   7.1366
2454218.848980   8.2559   7.1436
2454218.892290   8.2484   7.1332
2454220.848770   8.3212   7.1864
2454222.669590   8.3141   7.1660
2454224.669650   8.1869   7.0878
2454226.867920   8.1817   7.0713
2454227.693970   8.3349   7.1953
2454227.734910   8.3389   7.1975
2454228.694420   8.2088   7.0904
2454228.738740   8.2050   7.0900
2454229.662540   8.2527   7.1335
2454229.736650   8.2808   7.1591
2454230.703870   8.2541   7.1277
2454230.734750   8.2563   7.1321
2454231.707290   8.1968   7.0850
2454231.753820   8.2005   7.0930
2454232.701090   8.3410   7.1942
2454232.730390   8.3239   7.1833
2454236.697920   8.2323   7.1197
2454236.736800   8.2499   7.1218
2454237.690210   8.2961   7.1622
2454237.733130   8.2795   7.1509
2454238.691150   8.2012   7.0958
2454238.730020   8.2011   7.0943
