MJD,magV
39522.6,7.8
39522.9,7.9
39523.0,7.9
39524.0,8.0
39524.0,8.0
39524.6,7.9
39525.0,8.0
39525.1,8.2
39525.2,7.8
39525.6,7.5
39525.7,7.5
39526.0,8.0
39526.1,7.7
39526.6,7.4
39526.6,7.8
39526.8,7.6
39526.8,7.6
39527.0,7.5
39527.0,7.8
39527.0,7.9
39527.2,7.2
39527.5,7.2
39527.9,7.8
39528.1,7.8
39528.2,7.6
39528.6,7.6
39528.6,7.7
39528.6,8.2
39528.7,7.6
39528.9,8.2
39529.0,8.1
39529.6,8.1
39529.9,8.1
39530.0,8.0
39530.0,8.1
39530.6,7.9
39530.6,8.2
39530.7,8.4
39530.9,8.4
39531.1,8.5
39531.6,8.2
39532.0,8.5
39532.1,8.0
39532.6,8.2
39532.7,7.8
39532.9,8.1
39532.9,8.2
39532.9,8.2
39533.0,8.2
39533.0,8.6
39533.1,8.4
39533.1,8.4
39533.1,8.4
39533.6,8.3
39533.9,8.3
39533.9,8.6
39534.2,8.0
39534.6,8.3
39534.6,8.5
39534.7,8.2
39535.0,8.0
39535.6,8.2
39535.6,8.6
39535.9,8.5
39535.9,8.6
39536.0,8.3
39536.1,8.8
39536.6,8.3
39536.6,8.6
39536.9,8.8
39537.0,8.5
39537.0,8.7
39537.2,8.8
39537.6,8.5
39537.6,8.7
39537.9,8.8
39538.0,8.6
39538.1,8.7
39538.6,8.8
39538.9,8.7
39538.9,8.8
39538.9,8.8
39539.1,8.2
39539.1,8.5
39539.6,8.9
39539.7,7.9
39539.9,8.2
39540.1,8.2
39540.5,8.7
39540.6,8.7
39541.0,8.5
39541.1,8.1
39541.5,8.9
39541.6,8.6
39541.6,8.9
39541.9,8.8
39542.1,8.8
39542.1,8.9
39542.2,8.9
39542.6,8.7
39542.6,8.9
39543.0,8.9
39543.1,8.8
39543.6,8.7
39543.6,9.0
39543.7,8.7
39544.0,8.8
39544.0,8.8
39544.2,8.4
39544.2,8.9
39544.7,8.3
39545.0,8.3
39545.6,8.9
39545.9,8.1
39546.5,9.1
39546.5,9.2
39546.6,9.0
39546.9,8.8
39546.9,8.9
39547.5,9.1
39547.6,8.9
39547.8,8.5
39547.9,8.8
39548.2,8.9
39548.6,8.1
39548.6,9.0
39548.7,8.7
39548.9,8.5
39549.1,8.8
39549.5,9.1
39549.6,9.1
39550.0,9.0
39550.7,9.1
39550.9,8.8
39551.0,9.0
39551.0,9.0
39551.1,8.8
39552.2,8.8
39552.8,8.7
39552.9,8.7
39553.0,8.8
39553.0,8.8
39553.0,8.8
39553.1,8.4
39553.1,8.8
39553.1,8.9
39553.6,9.2
39553.7,8.8
39553.9,8.9
39553.9,9.0
39554.0,8.4
39554.7,9.0
39554.9,8.9
39555.0,9.0
39555.6,9.2
39555.7,8.9
39555.8,8.7
39556.0,8.1
39557.6,9.1
39557.6,9.2
39558.0,8.8
39558.9,9.1
39559.0,9.1
39559.6,8.3
39559.9,8.5
39560.0,8.8
39560.0,9.0
39560.2,8.7
39560.5,8.4
39560.6,9.0
39560.6,9.4
39560.9,8.7
39560.9,8.9
39560.9,8.9
39560.9,9.0
39561.7,9.0
39561.9,9.0
39562.0,9.1
39562.1,9.1
39562.5,8.3
39562.5,8.4
39562.9,9.2
39562.9,9.2
39563.0,8.8
39563.2,9.2
39563.6,8.4
39563.7,9.0
39563.9,8.6
39563.9,9.3
39564.0,9.0
39564.1,9.5
39564.2,9.4
39564.6,8.5
39564.9,9.6
39565.0,9.2
39565.1,9.6
39565.9,9.1
39565.9,9.3
39566.0,8.8
39566.9,9.0
39567.0,8.8
39567.0,9.3
39567.2,9.2
39567.6,9.1
39567.9,9.2
39567.9,9.3
39568.6,9.1
39568.6,9.4
39569.9,8.6
39570.0,9.0
39570.2,9.1
39570.9,9.3
39571.0,8.2
39571.0,9.0
39571.1,9.1
39571.6,9.5
39571.8,9.4
39571.9,9.5
39572.0,8.4
39572.9,9.5
39573.9,9.7
39574.0,8.5
39574.6,9.6
39574.6,9.9
39574.8,9.5
39574.9,9.6
39575.6,9.3
39575.8,9.2
39575.9,9.4
39576.8,9.7
39577.0,9.5
39577.6,9.5
39577.7,9.6
39577.7,9.7
39577.8,9.7
39577.8,9.7
39577.9,8.9
39577.9,9.7
39578.0,9.2
39579.5,9.2
39579.6,9.9
39579.9,9.7
39580.6,9.7
39580.6,9.8
39580.9,9.7
39581.0,9.5
39581.9,9.8
39582.0,9.7
39582.1,9.8
39582.9,9.2
39582.9,9.7
39583.0,9.7
39583.9,8.8
39584.0,9.8
39584.6,9.9
39584.9,9.4
39585.0,10.0
39585.5,9.4
39585.6,9.9
39585.9,9.7
39586.6,10.0
39587.0,9.7
39587.6,9.7
39587.9,9.8
39588.1,8.7
39588.9,9.9
39589.7,10.1
39589.9,9.6
39590.0,9.9
39591.9,10.0
39592.0,10.0
39592.1,9.9
39592.6,10.5
39592.8,10.4
39592.9,10.0
39592.9,10.3
39594.9,9.6
39595.0,10.4
39596.0,10.2
39596.9,10.2
39596.9,10.4
39597.0,10.1
39597.0,10.2
