source id,right ascension (RAJ2000),declination (DEJ2000),hjd,camera,filter,mag,mag err,flux (mJy),flux err
AP8019578,219.29812,26.7366,2457070.04237,ba,V,7.67,0.02,3280.43,60.36
AP8019578,219.29812,26.7366,2456868.77361,ba,V,8.651,0.02,1328.49,24.444
AP8019578,219.29812,26.7366,2457574.83511,ba,V,11.794,0.02,73.51,1.353
AP8019578,219.29812,26.7366,2456827.90091,ba,V,7.569,0.02,3599.743,66.235
AP8019578,219.29812,26.7366,2456490.79095,ba,V,11.832,0.02,70.981,1.306
AP8019578,219.29812,26.7366,2456358.03543,ba,V,8.315,0.02,1811.317,33.328
AP8019578,219.29812,26.7366,2457083.97155,ba,V,8.165,0.02,2079.856,38.269
AP8019578,219.29812,26.7366,2457927.89028,ba,V,8.733,0.02,1232.579,22.679
AP8019578,219.29812,26.7366,2457465.90058,ba,V,8.546,0.02,1464.49,26.947
AP8019578,219.29812,26.7366,2457185.86882,ba,V,12.753,99.99,-9.759,6.077
AP8019578,219.29812,26.7366,2456486.78694,ba,V,11.684,0.02,81.31,1.496
AP8019578,219.29812,26.7366,2457884.99701,ba,V,12.691,99.99,-96.265,6.432
AP8019578,219.29812,26.7366,2457429.04657,ba,V,12.168,0.02,52.095,0.959
AP8019578,219.29812,26.7366,2457388.12555,ba,V,12.701,99.99,-83.224,6.378
AP8019578,219.29812,26.7366,2456757.85267,ba,V,11.072,0.02,142.933,2.63
AP8019578,219.29812,26.7366,2456800.97887,ba,V,8.757,0.02,1205.318,22.178
AP8019578,219.29812,26.7366,2457897.97134,ba,V,11.243,0.02,122.049,2.246
AP8019578,219.29812,26.7366,2457803.09224,ba,V,12.692,99.99,-95.61,6.428
AP8019578,219.29812,26.7366,2456778.93956,ba,V,9.809,0.02,457.601,8.42
AP8019578,219.29812,26.7366,2457445.00314,ba,V,9.651,0.02,529.116,9.736
AP8019578,219.29812,26.7366,2458244.74553,be,V,12.038,99.99,-162.452,11.738
AP8019578,219.29812,26.7366,2457447.07566,ba,V,9.427,0.02,650.467,11.969
AP8019578,219.29812,26.7366,2457210.81484,ba,V,12.78,99.99,26.691,5.928
AP8019578,219.29812,26.7366,2457425.06385,ba,V,12.748,99.99,-17.072,6.107
AP8019578,219.29812,26.7366,2457938.80725,ba,V,8.04,0.02,2332.668,42.921
AP8019578,219.29812,26.7366,2457096.90491,ba,V,8.805,0.02,1152.803,21.212
AP8019578,219.29812,26.7366,2457830.89611,ba,V,12.542,99.99,-329.101,7.383
AP8019578,219.29812,26.7366,2456412.04404,ba,V,8.383,0.02,1700.979,31.298
AP8019578,219.29812,26.7366,2457562.78567,ba,V,10.29,0.02,293.633,5.403
AP8019578,219.29812,26.7366,2456476.7993,ba,V,11.709,0.02,79.507,1.463
