oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,phase
587104200017362,57727100,2458331.774240679,58331.2710069,15.039924621582031,0.011908370070159435,0,zg,263.4708366,16.9196343,0.6320000290870667,0.03500000014901161,20180801270995,587,4,2,20.959999084472656,26.132490158081055,0.019251931458711624,-0.03758309781551361,6.566498541360488e-06,30.0,1.1100000143051147,2,0
587104200017362,57729827,2458331.801507761,58331.2982755,15.034355163574219,0.011905587278306484,0,zg,263.470811,16.9196344,0.7039999961853027,0.026000000536441803,20180801298206,587,4,2,20.65999984741211,26.107913970947266,0.020717408508062363,-0.03900623321533203,7.281611942744348e-06,30.0,1.1950000524520874,2,0
587104200017362,57818905,2458332.69223388,58332.1890509,14.907486915588379,0.011849578469991684,0,zg,263.4708208,16.9196312,0.7680000066757202,0.010999999940395355,20180802189005,587,4,2,21.700000762939453,26.1627140045166,0.01942521706223488,-0.04022157937288284,6.739178843417903e-06,30.0,1.0399999618530273,2,0
587104200017362,57820950,2458332.712684138,58332.2095023,14.818039894104004,0.01181806344538927,0,zg,263.4708134,16.9196348,0.7960000038146973,0.020999999716877937,20180802209456,587,4,2,21.68000030517578,26.163192749023438,0.01904187723994255,-0.04110158234834671,6.54181440040702e-06,30.0,1.0360000133514404,2,0
587104200017362,57825035,2458332.7535383482,58332.2503588,15.003532409667969,0.011890689842402935,0,zg,263.4708179,16.9196266,0.49900001287460327,0.0020000000949949026,20180802250336,587,4,2,21.510000228881836,26.14007568359375,0.018466485664248466,-0.040856581181287766,6.006353942211717e-06,30.0,1.0740000009536743,2,0
587104200017362,58224483,2458336.7477879846,58336.244838,15.027752876281738,0.011902323924005032,0,zg,263.470808,16.9196257,0.27300000190734863,0.006000000052154064,20180806244826,587,4,2,21.459999084472656,26.240236282348633,0.016553478315472603,-0.04266733303666115,4.719735443359241e-06,30.0,1.0839999914169312,1,0
587104200017362,58632243,2458340.825133119,58340.3224306,14.97823715209961,0.011879095807671547,32768,zg,263.4708044,16.9196118,0.609000027179718,-0.01600000075995922,20180810322431,587,4,2,20.510000228881836,25.167783737182617,0.027865974232554436,-0.0030844726134091616,1.331571093032835e-05,30.0,1.4850000143051147,1,0
587104200017362,58918640,2458343.688922061,58343.1864005,15.00710391998291,0.01189237181097269,0,zg,263.4708107,16.9196326,0.5040000081062317,0.02500000037252903,20180813186400,587,4,2,21.469999313354492,26.16632652282715,0.018030481413006783,-0.042821481823921204,5.6903900258475915e-06,30.0,1.0399999618530273,1,0
587104200017362,59216591,2458346.6682418115,58346.1659144,15.039192199707031,0.011908004060387611,0,zg,263.4708231,16.9196333,0.546999990940094,0.05700000002980232,20180816165903,587,4,2,21.469999313354492,26.15239143371582,0.0182375255972147,-0.039900533854961395,5.796597179141827e-06,30.0,1.0379999876022339,1,0
587104200017362,80346146,2458557.961835189,58557.4614699,14.87777042388916,0.011838412843644619,0,zg,263.4708598,16.9195746,0.6790000200271606,0.04699999839067459,20190315461366,587,4,2,20.440000534057617,26.152015686035156,0.026709510013461113,-0.021010661497712135,1.2454230272851419e-05,30.0,1.3589999675750732,2,0
