mjd,mag,err_mag
5610.3192826300001,11.1423,0.00558996
5610.3200164500004,11.1416,0.00556214
5610.3214840600003,11.1393,0.00556546
5610.3222178699998,11.1406,0.00555398
5610.3229517899999,11.1423,0.00558028
5610.3236856000003,11.1365,0.00555975
5610.3244193999999,11.1379,0.00555655
5610.3251532100003,11.1304,0.00555922
5610.3258870000000,11.1355,0.00556083
5610.3266208100003,11.1357,0.00557065
5610.3273546099999,11.1285,0.00554571
5610.3280884100004,11.1358,0.00556226
5610.3288222100000,11.1285,0.00552515
5610.3295561200002,11.1331,0.00549059
5610.3302899199998,11.131,0.00548722
5610.3310236999996,11.1336,0.00548791
5610.3317575000001,11.1284,0.00549862
5610.3324912999997,11.1273,0.00548375
5610.3361603599997,11.1091,0.00533543
5610.3398293000000,11.1238,0.00544954
5610.3405630799998,11.1338,0.00563976
5610.3787853300000,11.1208,0.0055073
5610.3795191500003,11.1384,0.00554493
5610.3802530900002,11.1234,0.00549003
5610.3809869099996,11.1175,0.00548454
5610.3817207299999,11.1272,0.00552072
5610.3824545400003,11.1175,0.00549831
5610.3831883700004,11.1294,0.00553305
5610.3839221899998,11.1185,0.00550695
5610.3846560000002,11.1266,0.00552389
5610.3853898199995,11.1284,0.00552991
5610.3868575699998,11.1324,0.00553805
5610.3875913800002,11.1363,0.00554143
5610.3883251899997,11.1341,0.0055425
5610.3890590100000,11.1379,0.00554777
5610.3897928200004,11.1382,0.00556357
5610.3905266299998,11.1368,0.00556356
5610.3912604400002,11.1351,0.00555131
5610.3919942499997,11.1341,0.00553364
5610.3927280600001,11.1339,0.00553192
5610.3934619800002,11.1325,0.00554374
5610.3941957899997,11.1329,0.00555242
5610.3949295800003,11.1337,0.00555083
5610.3956633899998,11.1304,0.00554128
5610.3963972000001,11.1363,0.00555157
5610.3971309899998,11.1316,0.00555368
5610.3978648000002,11.132,0.00553321
5610.3985985899999,11.1284,0.00552245
5610.3993323900004,11.1327,0.00553327
5610.4000662999997,11.1325,0.00552131
5610.4008001000002,11.1301,0.00551241
5610.4015338899999,11.1339,0.00551948
5610.4022676799996,11.1181,0.00544533
5610.4037352699997,11.1368,0.00549113
5610.4088719000001,11.1244,0.00540971
5610.4103394800004,11.1289,0.00551121
5610.4482287000001,11.1378,0.00577869
5610.4489625099995,11.1301,0.00556746
5610.4496964500004,11.1305,0.00551994
5610.4504302699997,11.1302,0.0055113
5610.4511640999999,11.1321,0.00553429
5610.4518979100003,11.1289,0.00554007
5610.4526317299997,11.1261,0.00552446
5610.4533655400000,11.1285,0.00554207
5610.4540993700002,11.136,0.00555722
5610.4548331899996,11.1272,0.00553266
5610.4555670000000,11.1363,0.00555731
5610.4563009399999,11.1365,0.00556223
5610.4570347500003,11.1377,0.00554801
5610.4577685699996,11.136,0.00553877
5610.4585023700001,11.143,0.00555821
5610.4592361900004,11.1419,0.00554512
5610.4599700099998,11.1339,0.00552411
5610.4607038100003,11.133,0.00553811
5610.4614376299996,11.1314,0.00553749
5610.4621714400000,11.1373,0.0055507
5610.4629053600001,11.1338,0.00556261
5610.4636391599997,11.1285,0.00554112
5610.4643729700001,11.1286,0.00554637
5610.4651067799996,11.1332,0.00555757
5610.4658405800001,11.1299,0.00555434
5610.4665743799997,11.1339,0.00553137
5610.4673081900000,11.1333,0.00553805
5610.4687757800002,11.1317,0.00550975
5610.4695096900005,11.1355,0.0055235
5610.4702434999999,11.1359,0.00553895
5610.4709772799997,11.1283,0.00548737
5610.4717110800002,11.128,0.00548688
5610.4724448799998,11.1304,0.00548017
5610.4775815300000,11.1336,0.00548429
5610.4783153099997,11.132,0.00545265
5610.4797828800001,11.137,0.00546818
5610.4805166699998,11.1374,0.00551961
5610.4812504600004,11.1304,0.00562971
5610.5199821899996,11.1202,0.00548527
5610.5207160199998,11.123,0.00547429
5610.5214498400001,11.1252,0.00550029
5610.5221836600003,11.1247,0.00549899
5610.5229174799997,11.1241,0.00550551
5610.5236514099997,11.1183,0.00548455
5610.5243852300000,11.1273,0.00547686
5610.5251190500003,11.1256,0.00550975
5610.5258528699997,11.1323,0.00553885
5610.5265866899999,11.1286,0.00552842
5610.5273205000003,11.128,0.00550951
5610.5280543099998,11.1222,0.00549955
5610.5287881200002,11.1286,0.00550876
5610.5295219400004,11.1329,0.00553463
5610.5302558699996,11.1278,0.00550803
5610.5309896799999,11.1285,0.00551237
5610.5317234900003,11.1315,0.00552508
5610.5324572999998,11.1285,0.00551919
5610.5331911100002,11.1298,0.00553385
5610.5339249099998,11.1287,0.00552973
5610.5346587200002,11.1258,0.00554007
5610.5353925299996,11.1248,0.00552067
