wave,fluxE10
4771.91,13.6607
4774.74,13.3547
4777.57,12.653
4780.4,12.3113
4783.23,12.811
4786.06,13.8659
4788.89,14.7807
4791.72,14.9783
4794.55,14.6955
4797.38,14.5161
4800.21,14.1934
4803.04,13.6646
4805.87,13.5455
4808.7,13.891
4811.53,14.3851
4814.36,14.7453
4817.19,14.7027
4820.03,14.493
4822.86,14.457
4825.69,14.7022
4828.52,15.3031
4831.35,15.8642
4834.18,16.0211
4837.01,16.0634
4839.84,16.1061
4842.67,15.8211
4845.5,15.3828
4848.33,15.229
4851.16,15.0616
4853.99,14.2646
4856.82,13.3987
4859.65,13.207
4862.48,13.2106
4865.31,13.1987
4868.15,13.5189
4870.98,14.166
4873.81,14.8184
4876.64,15.13
4879.47,15.0404
4882.3,14.971
4885.13,15.5974
4887.96,17.2057
4890.79,18.7047
4893.62,18.9468
4896.45,18.5949
4899.28,18.4615
4902.11,18.2387
4904.94,17.8699
4907.77,17.809
4910.6,17.5341
4913.43,16.6934
4916.27,16.4027
4919.1,17.5164
4921.93,19.3322
4924.76,20.246
4927.59,19.4909
4930.42,18.0859
4933.25,17.4739
4936.08,18.3166
4938.91,20.0189
4941.74,21.4305
4944.57,21.2987
4947.4,18.916
4950.23,15.6587
4953.06,13.7138
4955.89,13.3316
4958.72,13.4399
4961.55,13.8139
4964.39,14.7417
4967.22,15.6108
4970.05,15.6023
4972.88,14.8786
4975.71,14.149
4978.54,14.222
4981.37,15.1486
4984.2,16.0262
4987.03,16.2252
4989.86,15.7451
4992.69,14.9409
4995.52,14.3631
4998.35,14.2386
5001.18,14.1749
5004.01,13.8188
5006.84,13.4833
5009.67,13.689
5012.51,14.2366
5015.34,14.8692
5018.17,15.8709
5021,17.1475
5023.83,18.1481
5026.66,18.102
5029.49,16.6806
5032.32,15.4004
5035.15,16.077
5037.98,18.063
5040.81,19.089
5043.64,19.1148
5046.47,19.8911
5049.3,21.16
5052.13,21.4137
5054.96,20.5127
5057.79,19.4334
5060.63,19.1714
5063.46,19.7087
5066.29,20.073
5069.12,19.5304
5071.95,18.2771
5074.78,17.6545
5077.61,18.5629
5080.44,20.1139
5083.27,21.3523
5086.1,22.0209
5088.93,22.0128
5091.76,21.8398
5094.59,21.8498
5097.42,21.2556
5100.25,19.8858
5103.08,19.2202
5105.91,20.4408
5108.75,22.3973
5111.58,22.807
5114.41,21.3814
5117.24,20.0564
5120.07,20.127
5122.9,21.1793
5125.73,22.2874
5128.56,22.5904
5131.39,21.7459
5134.22,20.3961
5137.05,19.494
5139.88,19.2748
5142.71,19.6067
5145.54,20.9383
5148.37,23.1226
5151.2,24.3064
5154.03,22.4306
5156.87,17.7727
5159.7,13.2829
5162.53,11.3968
5165.36,11.9911
5168.19,13.6224
5171.02,14.8404
5173.85,15.2945
5176.68,15.8266
5179.51,16.3834
5182.34,16.3123
5185.17,16.3504
5188,17.2091
5190.83,17.7327
5193.66,16.7612
5196.49,15.2467
5199.32,15.1082
5202.15,16.7051
5204.99,18.5975
5207.82,19.5621
5210.65,19.409
5213.48,18.5298
5216.31,18.161
5219.14,19.5311
5221.97,21.4964
5224.8,22.5702
5227.63,23.011
