#  puvul.279  455353.94092   60.0
#     wave       flux
   4028.04224   2.37554E-14
   4029.51343   1.71423E-14
   4030.98486   1.77162E-14
   4032.45605   1.43973E-14
   4033.92725   1.49446E-14
   4035.39844   1.43935E-14
   4036.86987   1.71469E-14
   4038.34106   1.34486E-14
   4039.81226   1.13456E-14
   4041.28345   1.07439E-14
   4042.75464   1.43168E-14
   4044.22607   6.96820E-15
   4045.69727   1.19633E-14
   4047.16846   1.05913E-14
   4048.63965   1.30386E-14
   4050.11108   1.30548E-14
   4051.58228   1.11106E-14
   4053.05347   1.25210E-14
   4054.52466   1.09694E-14
   4055.99609   1.45602E-14
   4057.46729   1.40541E-14
   4058.93848   1.41137E-14
   4060.40967   1.23580E-14
   4061.88110   1.13402E-14
   4063.35229   1.74127E-14
   4064.82349   1.69557E-14
   4066.29468   2.61941E-14
   4067.76587   3.05305E-14
   4069.23730   2.99492E-14
   4070.70850   2.60353E-14
   4072.17969   2.00289E-14
   4073.65088   2.24508E-14
   4075.12231   1.36437E-14
   4076.59351   1.52909E-14
   4078.06470   1.32624E-14
   4079.53589   1.11705E-14
   4081.00732   1.17929E-14
   4082.47852   1.10098E-14
   4083.94971   1.25367E-14
   4085.42090   1.84973E-14
   4086.89233   1.42389E-14
   4088.36353   1.61661E-14
   4089.83472   1.65197E-14
   4091.30591   1.88251E-14
   4092.77710   1.51685E-14
   4094.24854   2.90092E-14
   4095.71973   4.49756E-14
   4097.19092   7.12048E-14
   4098.66211   1.20448E-13
   4100.13330   1.42944E-13
   4101.60449   1.24705E-13
   4103.07617   9.39717E-14
   4104.54736   5.86318E-14
   4106.01855   2.91055E-14
   4107.48975   1.61894E-14
   4108.96094   1.78961E-14
   4110.43213   1.75253E-14
   4111.90332   1.37575E-14
   4113.37451   1.42509E-14
   4114.84619   1.31793E-14
   4116.31738   1.82624E-14
   4117.78857   1.53406E-14
   4119.25977   1.60111E-14
   4120.73096   1.53557E-14
   4122.20215   1.55500E-14
   4123.67334   1.46841E-14
   4125.14453   1.49914E-14
   4126.61572   1.57161E-14
   4128.08740   1.38173E-14
   4129.55859   1.40865E-14
   4131.02979   1.10960E-14
   4132.50098   1.17246E-14
   4133.97217   1.42853E-14
   4135.44336   1.10392E-14
   4136.91455   1.34648E-14
   4138.38574   1.54199E-14
   4139.85742   1.73896E-14
   4141.32861   1.95369E-14
   4142.79980   1.81949E-14
   4144.27100   1.83186E-14
   4145.74219   1.42969E-14
   4147.21338   1.23086E-14
   4148.68457   1.41458E-14
   4150.15576   1.18782E-14
   4151.62695   1.37650E-14
   4153.09863   1.70096E-14
   4154.56982   1.43534E-14
   4156.04102   1.25604E-14
   4157.51221   1.37883E-14
   4158.98340   8.03625E-15
   4160.45459   1.03504E-14
   4161.92578   1.81950E-14
   4163.39697   1.44268E-14
   4164.86865   1.38245E-14
   4166.33984   1.28741E-14
   4167.81104   1.14330E-14
   4169.28223   1.55763E-14
   4170.75342   1.29545E-14
   4172.22461   1.70518E-14
   4173.69580   1.53272E-14
   4175.16699   1.79746E-14
   4176.63818   2.17318E-14
   4178.10986   2.00948E-14
   4179.58105   2.28018E-14
   4181.05225   2.13992E-14
   4182.52344   2.10604E-14
   4183.99463   1.78556E-14
   4185.46582   1.62789E-14
   4186.93701   1.63972E-14
   4188.40820   1.48902E-14
   4189.87988   1.22512E-14
   4191.35107   1.60070E-14
   4192.82227   1.47446E-14
   4194.29346   1.63186E-14
   4195.76465   2.02016E-14
   4197.23584   2.55418E-14
   4198.70703   2.84291E-14
   4200.17822   1.02112E-14
   4201.64941   1.97956E-14
   4203.12109   2.04532E-14
   4204.59229   1.59740E-14
   4206.06348   1.70968E-14
   4207.53467   1.43936E-14
   4209.00586   1.35140E-14
   4210.47705   1.28323E-14
   4211.94824   1.60892E-14
   4213.41943   1.12615E-14
   4214.89111   1.21947E-14
   4216.36230   1.21214E-14
   4217.83350   1.39142E-14
   4219.30469   1.41642E-14
   4220.77588   1.33976E-14
   4222.24707   1.35026E-14
   4223.71826   1.39969E-14
   4225.18945   1.18007E-14
   4226.66064   1.53678E-14
   4228.13232   1.07593E-14
   4229.60352   1.48061E-14
   4231.07471   2.00470E-14
   4232.54590   1.91302E-14
   4234.01709   1.87564E-14
   4235.48828   1.78558E-14
   4236.95947   1.45106E-14
   4238.43066   1.38397E-14
   4239.90234   1.75958E-14
   4241.37354   2.14124E-14
   4242.84473   2.81139E-14
   4244.31592   2.55122E-14
